T,Z
4.4000001,8.57
5.9000001,8.74
9.80000019,8.35
2.0,8.63
3.0,8.69
3.0999999,8.65
3.0,8.75
2.0999999,8.73
1.0,8.61
5.9000001,8.65
-0.200000003,8.72
2.0,8.59
6.0,8.71
4.0,8.71
5.19999981,8.82
-2.0999999,8.65
2.0,8.72
6.0,8.7
4.0,8.62
1.20000005,8.7
1.0,8.7
5.9000001,8.64
8.0,8.53
5.80000019,8.72
3.0999999,8.68
4.0,8.67
5.69999981,8.77
6.5,8.82
6.5999999,8.68
1.0,8.62
6.0,8.76
6.0,8.76
6.0999999,8.73
4.0,8.85
3.5999999,8.81
4.0999999,8.52
-4.69999981,8.73
9.89999962,8.49
2.0999999,8.74
8.0,8.72
6.5999999,8.76
6.5,8.72
3.0999999,8.8
3.20000005,8.66
-3.20000005,8.67
-2.0999999,8.65
5.9000001,8.61
-4.9000001,8.72
-0.100000001,8.67
8.10000038,8.43
3.29999995,8.61
-4.80000019,8.75
3.0,8.88
-3.0,8.77
-1.89999998,8.66
5.80000019,8.86
2.0999999,8.78
